Дата и время;Состояние батареи.Напряжение.Значение;Состояние батареи.Напряжение.Качество;Статус прибора.Статус.Значение;Статус прибора.Статус.Качество;Фаза А.Напряжение.Значение;Фаза А.Напряжение.Качество;Фаза А.Ток.Значение;Фаза А.Ток.Качество;Фаза А.Активная мощность.Значение;Фаза А.Активная мощность.Качество;Фаза А.Реактивная мощность.Значение;Фаза А.Реактивная мощность.Качество;Фаза А.Полная мощность.Значение;Фаза А.Полная мощность.Качество;Фаза А.Коэффициент мощности.Значение;Фаза А.Коэффициент мощности.Качество;Фаза B.Напряжение.Значение;Фаза B.Напряжение.Качество;Фаза B.Ток.Значение;Фаза B.Ток.Качество;Фаза B.Активная мощность.Значение;Фаза B.Активная мощность.Качество;Фаза B.Реактивная мощность.Значение;Фаза B.Реактивная мощность.Качество;Фаза B.Полная мощность.Значение;Фаза B.Полная мощность.Качество;Фаза B.Коэффициент мощности.Значение;Фаза B.Коэффициент мощности.Качество;Фаза C.Напряжение.Значение;Фаза C.Напряжение.Качество;Фаза C.Ток.Значение;Фаза C.Ток.Качество;Фаза C.Активная мощность.Значение;Фаза C.Активная мощность.Качество;Фаза C.Реактивная мощность.Значение;Фаза C.Реактивная мощность.Качество;Фаза C.Полная мощность.Значение;Фаза C.Полная мощность.Качество;Фаза C.Коэффициент мощности.Значение;Фаза C.Коэффициент мощности.Качество;Межфазные значения.Межфазный угол A-B.Значение;Межфазные значения.Межфазный угол A-B.Качество;Межфазные значения.Межфазный угол B-C.Значение;Межфазные значения.Межфазный угол B-C.Качество;Межфазные значения.Межфазный угол C-A.Значение;Межфазные значения.Межфазный угол C-A.Качество;Межфазные значения.Межфазное напряжение A-B.Значение;Межфазные значения.Межфазное напряжение A-B.Качество;Межфазные значения.Межфазное напряжение B-C.Значение;Межфазные значения.Межфазное напряжение B-C.Качество;Межфазные значения.Межфазное напряжение C-A.Значение;Межфазные значения.Межфазное напряжение C-A.Качество;Результаты измерений.Частота сети.Значение;Результаты измерений.Частота сети.Качество;Измерение параметров электросети.Статус ошибок измерений.Значение;Измерение параметров электросети.Статус ошибок измерений.Качество;Дискретные выходы.Изменить состояние дискретных выходов.Значение;Дискретные выходы.Изменить состояние дискретных выходов.Качество;
04.11.2025 3:12:01;3094;GOOD;0;GOOD;243,83;GOOD;1,335;GOOD;-0,2898;GOOD;0,0615;GOOD;0,3257;GOOD;0,89;GOOD;231,954;GOOD;0,159;GOOD;-0,0077;GOOD;0,0304;GOOD;0,0368;GOOD;0,212;GOOD;247,265;GOOD;0,774;GOOD;-0,146;GOOD;0,0226;GOOD;0,1904;GOOD;0,765;GOOD;123,95;GOOD;117,843;GOOD;118,136;GOOD;419,982;GOOD;410,475;GOOD;421,192;GOOD;50,015;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:12:31;3094;GOOD;0;GOOD;245,498;GOOD;1,331;GOOD;-0,2911;GOOD;0,0808;GOOD;0,3259;GOOD;0,892;GOOD;231,479;GOOD;0,351;GOOD;-0,0313;GOOD;0,0206;GOOD;0,0802;GOOD;0,389;GOOD;247,644;GOOD;0,555;GOOD;-0,1245;GOOD;0,0131;GOOD;0,1376;GOOD;0,905;GOOD;124,255;GOOD;117,652;GOOD;118,039;GOOD;421,665;GOOD;410,053;GOOD;422,826;GOOD;50,008;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:13:01;3094;GOOD;0;GOOD;245,514;GOOD;1,339;GOOD;-0,2883;GOOD;0,0937;GOOD;0,3291;GOOD;0,877;GOOD;233,546;GOOD;0,419;GOOD;-0,0374;GOOD;0,0186;GOOD;0,0981;GOOD;0,383;GOOD;248,642;GOOD;0,502;GOOD;-0,1179;GOOD;0,0118;GOOD;0,1249;GOOD;0,944;GOOD;123,981;GOOD;117,894;GOOD;118,094;GOOD;422,955;GOOD;413,179;GOOD;423,75;GOOD;50,005;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:13:31;3094;GOOD;0;GOOD;246,438;GOOD;1,325;GOOD;-0,2886;GOOD;0,1001;GOOD;0,3268;GOOD;0,884;GOOD;230,272;GOOD;0,362;GOOD;-0,0319;GOOD;0,0214;GOOD;0,0842;GOOD;0,382;GOOD;249,106;GOOD;0,531;GOOD;-0,1219;GOOD;0,0159;GOOD;0,1326;GOOD;0,921;GOOD;124,311;GOOD;117,809;GOOD;117,774;GOOD;421,619;GOOD;410,642;GOOD;424,37;GOOD;49,989;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:14:01;3094;GOOD;0;GOOD;246,925;GOOD;1,592;GOOD;-0,3487;GOOD;0,1269;GOOD;0,393;GOOD;0,887;GOOD;230,18;GOOD;0,403;GOOD;-0,0351;GOOD;0,019;GOOD;0,0928;GOOD;0,379;GOOD;249,503;GOOD;0,514;GOOD;-0,1199;GOOD;0,0141;GOOD;0,128;GOOD;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;
04.11.2025 3:14:02;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;0,94;GOOD;124,546;GOOD;117,817;GOOD;117,571;GOOD;422,447;GOOD;410,957;GOOD;424,559;GOOD;49,98;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:14:32;3094;GOOD;0;GOOD;246,99;GOOD;1,593;GOOD;-0,3449;GOOD;0,125;GOOD;0,3927;GOOD;0,878;GOOD;230,214;GOOD;0,431;GOOD;-0,0378;GOOD;0,0177;GOOD;0,0993;GOOD;0,381;GOOD;248,858;GOOD;0,498;GOOD;-0,1172;GOOD;0,0121;GOOD;0,124;GOOD;0,946;GOOD;124,136;GOOD;117,879;GOOD;117,926;GOOD;421,715;GOOD;410,501;GOOD;424,73;GOOD;49,995;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:15:02;3094;GOOD;0;GOOD;246,245;GOOD;1,629;GOOD;-0,3483;GOOD;0,124;GOOD;0,4021;GOOD;0,868;GOOD;230,333;GOOD;0,508;GOOD;-0,0437;GOOD;0,0123;GOOD;0,1148;GOOD;0,374;GOOD;248,572;GOOD;0,502;GOOD;-0,1178;GOOD;0,0129;GOOD;0,1247;GOOD;0,945;GOOD;124,471;GOOD;117,616;GOOD;117,827;GOOD;422,099;GOOD;410,153;GOOD;423,615;GOOD;50,02;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:15:32;3094;GOOD;0;GOOD;248,329;GOOD;1,549;GOOD;-0,3408;GOOD;0,1175;GOOD;0,3858;GOOD;0,885;GOOD;232,283;GOOD;0,4;GOOD;-0,0355;GOOD;0,0176;GOOD;0,0953;GOOD;0,379;GOOD;246,77;GOOD;0,534;GOOD;-0,1215;GOOD;0,0167;GOOD;0,1314;GOOD;0,925;GOOD;125,134;GOOD;118,444;GOOD;116,336;GOOD;426,741;GOOD;411,653;GOOD;420,71;GOOD;50,044;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:16:02;3094;GOOD;0;GOOD;247,733;GOOD;1,495;GOOD;-0,3343;GOOD;0,0952;GOOD;0,3703;GOOD;0,903;GOOD;231,934;GOOD;0,195;GOOD;-0,0123;GOOD;0,035;GOOD;0,0459;GOOD;0,272;GOOD;247,51;GOOD;0,754;GOOD;-0,1469;GOOD;0,0289;GOOD;0,1851;GOOD;0,792;GOOD;125,367;GOOD;118,659;GOOD;115,884;GOOD;426,319;GOOD;412,51;GOOD;419,759;GOOD;50,037;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:16:32;3094;GOOD;0;GOOD;247,267;GOOD;1,512;GOOD;-0,3376;GOOD;0,0962;GOOD;0,3735;GOOD;0,904;GOOD;232,507;GOOD;0,186;GOOD;-0,0117;GOOD;0,034;GOOD;0,0432;GOOD;0,276;GOOD;246,489;GOOD;0,744;GOOD;-0,1457;GOOD;0,0235;GOOD;0,1831;GOOD;0,796;GOOD;125,231;GOOD;118,991;GOOD;115,719;GOOD;426,075;GOOD;412,745;GOOD;418,083;GOOD;50,042;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:17:02;3094;GOOD;0;GOOD;243,972;GOOD;1,526;GOOD;-0,3352;GOOD;0,0938;GOOD;0,3732;GOOD;0,899;GOOD;231,126;GOOD;0,156;GOOD;-0,0073;GOOD;0,0307;GOOD;0,0361;GOOD;0,207;GOOD;247,46;GOOD;0,784;GOOD;-0,1462;GOOD;0,0327;GOOD;0,1955;GOOD;0,751;GOOD;126,133;GOOD;118,816;GOOD;114,993;GOOD;423,687;GOOD;412,165;GOOD;414,522;GOOD;50,031;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:17:32;3094;GOOD;0;GOOD;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;
04.11.2025 3:17:33;;UNDEFINED;;UNDEFINED;241,829;GOOD;1,548;GOOD;-0,337;GOOD;0,0872;GOOD;0,3761;GOOD;0,899;GOOD;234,316;GOOD;0,158;GOOD;-0,0076;GOOD;0,0314;GOOD;0,037;GOOD;0,207;GOOD;247,715;GOOD;0,778;GOOD;-0,146;GOOD;0,0254;GOOD;0,1934;GOOD;0,757;GOOD;125,144;GOOD;119,093;GOOD;115,693;GOOD;422,635;GOOD;415,671;GOOD;414,56;GOOD;50,031;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:18:03;3094;GOOD;0;GOOD;241,11;GOOD;1,528;GOOD;-0,3314;GOOD;0,0846;GOOD;0,3681;GOOD;0,9;GOOD;234,66;GOOD;0,157;GOOD;-0,0073;GOOD;0,0318;GOOD;0,0369;GOOD;0,201;GOOD;247,349;GOOD;0,769;GOOD;-0,1457;GOOD;0,0339;GOOD;0,1911;GOOD;0,763;GOOD;125,06;GOOD;118,812;GOOD;116,061;GOOD;422,056;GOOD;415,011;GOOD;414,355;GOOD;50,02;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:18:33;3094;GOOD;0;GOOD;241,676;GOOD;1,52;GOOD;-0,3311;GOOD;0,083;GOOD;0,3675;GOOD;0,901;GOOD;235,545;GOOD;0,157;GOOD;-0,0073;GOOD;0,0317;GOOD;0,037;GOOD;0,201;GOOD;245,891;GOOD;0,765;GOOD;-0,1448;GOOD;0,0292;GOOD;0,1875;GOOD;0,772;GOOD;124,35;GOOD;119,168;GOOD;116,401;GOOD;422,086;GOOD;415,25;GOOD;414,401;GOOD;50,024;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:19:03;3094;GOOD;0;GOOD;241,581;GOOD;1,535;GOOD;-0,3337;GOOD;0,0831;GOOD;0,3706;GOOD;0,9;GOOD;235,739;GOOD;0,157;GOOD;-0,0073;GOOD;0,0317;GOOD;0,037;GOOD;0,201;GOOD;247,613;GOOD;0,792;GOOD;-0,148;GOOD;0,0344;GOOD;0,1971;GOOD;0,751;GOOD;124,533;GOOD;119,007;GOOD;116,393;GOOD;422,612;GOOD;416,556;GOOD;415,828;GOOD;50,026;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:19:33;3094;GOOD;0;GOOD;242,767;GOOD;1,568;GOOD;-0,342;GOOD;0,0825;GOOD;0,3805;GOOD;0,899;GOOD;236,709;GOOD;0,159;GOOD;-0,0075;GOOD;0,0326;GOOD;0,0378;GOOD;0,201;GOOD;247,948;GOOD;0,789;GOOD;-0,1474;GOOD;0,0289;GOOD;0,1961;GOOD;0,752;GOOD;124,431;GOOD;118,687;GOOD;116,835;GOOD;424,15;GOOD;416,991;GOOD;418,118;GOOD;50,016;GOOD;0;GOOD;0;GOOD;
